Date,KO,PEP
2013-06-14,27.48218536376953,57.15781021118164
2013-06-17,27.713823318481445,57.45011520385742
2013-06-18,27.88412857055664,57.464027404785156
2013-06-19,27.52987289428711,56.29483413696289
2013-06-20,26.657848358154297,54.91687774658203
2013-06-21,27.08704948425293,55.765907287597656
2013-06-24,26.93035888671875,55.765907287597656
2013-06-25,27.059797286987305,55.70328903198242
2013-06-26,27.475364685058594,56.58018112182617
2013-06-27,27.42767333984375,56.88637924194336
2013-06-28,27.325489044189453,56.92117691040039
2013-07-01,27.56393051147461,57.09516525268555
2013-07-02,27.502614974975586,56.84465026855469
2013-07-03,27.584373474121094,56.18348693847656
2013-07-05,27.604808807373047,56.232200622558594
2013-07-08,27.61843490600586,56.91423034667969
2013-07-09,27.815996170043945,57.60322570800781
2013-07-10,27.713823318481445,57.756309509277344
2013-07-11,27.95224952697754,58.84198760986328
2013-07-12,27.95224952697754,58.68192672729492
2013-07-15,27.93863296508789,58.96030044555664
2013-07-16,27.40723419189453,58.473140716552734
2013-07-17,27.82282066345215,59.32221984863281
2013-07-18,27.802377700805664,60.40788269042969
2013-07-19,27.993125915527344,60.13645553588867
2013-07-22,27.82282066345215,60.12948989868164
2013-07-23,27.90457534790039,59.99028396606445
2013-07-24,27.83643913269043,59.60055923461914
2013-07-25,27.82282066345215,59.537940979003906
2013-07-26,27.686559677124023,59.370914459228516
2013-07-29,27.44130516052246,59.329139709472656
2013-07-30,27.468568801879883,59.23170852661133
2013-07-31,27.3050479888916,58.139102935791016
2013-08-01,27.63887596130371,58.598411560058594
2013-08-02,27.40043067932129,58.66103744506836
2013-08-05,27.448104858398438,58.793296813964844
2013-08-06,27.502614974975586,59.18996810913086
2013-08-07,27.352737426757812,58.9881477355957
2013-08-08,27.386804580688477,58.93244934082031
2013-08-09,27.359554290771484,58.69583511352539
2013-08-12,27.13473892211914,58.326988220214844
2013-08-13,27.01210594177246,58.03469467163086
2013-08-14,26.93035888671875,57.589290618896484
2013-08-15,26.630603790283203,56.308773040771484
2013-08-16,26.603347778320312,55.80070114135742
2013-08-19,26.41940689086914,56.28788375854492
2013-08-20,26.330846786499023,55.87728500366211
2013-08-21,26.078777313232422,55.035186767578125
2013-08-22,26.09921646118164,55.153480529785156
2013-08-23,26.242286682128906,55.57106018066406
2013-08-26,25.96977996826172,55.45970153808594
2013-08-27,25.990205764770508,55.021263122558594
2013-08-28,26.126466751098633,55.23699951171875
2013-08-29,25.956144332885742,55.209171295166016
2013-08-30,26.010650634765625,55.48755645751953
2013-09-03,25.819910049438477,55.814659118652344
2013-09-04,26.255910873413086,55.74315643310547
2013-09-05,26.051528930664062,55.42074203491211
2013-09-06,26.126466751098633,55.55390167236328
2013-09-09,26.242286682128906,55.63800048828125
2013-09-10,26.317209243774414,55.67306900024414
2013-09-11,26.41940689086914,55.967437744140625
2013-09-12,26.378236770629883,55.981449127197266
2013-09-13,26.54979133605957,56.29684829711914
2013-09-16,26.66645622253418,56.787498474121094
2013-09-17,26.6184139251709,57.23607635498047
2013-09-18,27.167387008666992,58.09121322631836
2013-09-19,26.975248336791992,57.34822463989258
2013-09-20,27.03701400756836,57.292152404785156
2013-09-23,26.508607864379883,56.787498474121094
2013-09-24,26.439992904663086,56.45106887817383
2013-09-25,26.302751541137695,56.21976089477539
2013-09-26,26.584096908569336,56.45106887817383
2013-09-27,26.350786209106445,56.2127571105957
2013-09-30,25.993953704833984,55.722129821777344
2013-10-01,26.041990280151367,55.9464225769043
2013-10-02,25.685161590576172,55.764183044433594
2013-10-03,25.4998779296875,55.680076599121094
2013-10-04,25.52732276916504,55.80622100830078
2013-10-07,25.42439842224121,55.413719177246094
2013-10-08,25.58222007751465,55.322608947753906
2013-10-09,25.444978713989258,55.722129821777344
2013-10-10,25.925334930419922,56.55620193481445
2013-10-11,25.91846466064453,56.65431594848633
2013-10-14,26.014545440673828,56.836551666259766
2013-10-15,25.842988967895508,56.49311828613281
2013-10-16,26.07630157470703,57.66362762451172
2013-10-17,26.453716278076172,57.88092041015625
2013-10-18,26.611543655395508,58.18230056762695
2013-10-21,26.638996124267578,57.73371505737305
2013-10-22,26.824277877807617,58.48368835449219
2013-10-23,26.824277877807617,58.4066047668457
2013-10-24,26.625274658203125,57.85288619995117
2013-10-25,26.78310203552246,58.420616149902344
2013-10-28,27.181116104125977,59.30376434326172
2013-10-29,27.311494827270508,59.92054748535156
2013-10-30,27.187973022460938,59.3808479309082
2013-10-31,27.153661727905273,58.93928146362305
2013-11-01,27.181116104125977,59.268699645996094
2013-11-04,27.112491607666016,59.13554382324219
2013-11-05,27.105634689331055,59.31074523925781
2013-11-06,27.483043670654297,60.75461959838867
2013-11-07,27.332082748413086,59.787384033203125
2013-11-08,27.483043670654297,60.1728630065918
2013-11-11,27.359525680541992,59.89249801635742
2013-11-12,27.36638832092285,60.02568435668945
2013-11-13,27.53108024597168,60.242984771728516
2013-11-14,27.59284019470215,60.551368713378906
2013-11-15,27.599708557128906,60.29904556274414
2013-11-18,27.56540298461914,60.17991256713867
2013-11-19,27.54480743408203,59.78035354614258
2013-11-20,27.489910125732422,59.668216705322266
2013-11-21,27.74380874633789,60.01166915893555
2013-11-22,27.74380874633789,60.09579849243164
2013-11-25,27.70263671875,59.83645248413086
2013-11-26,27.62029266357422,59.149559020996094
2013-11-27,27.772319793701172,59.17057418823242
2013-11-29,27.772319793701172,59.1986198425293
2013-12-02,27.696300506591797,58.66594696044922
2013-12-03,27.882892608642578,58.73601531982422
2013-12-04,27.896703720092773,58.325313568115234
2013-12-05,27.523550033569336,57.79604721069336
2013-12-06,27.958887100219727,58.67814254760742
2013-12-09,27.917430877685547,58.35354232788086
2013-12-10,27.537368774414062,58.14887619018555
2013-12-11,27.73086166381836,58.339420318603516
2013-12-12,27.095109939575195,57.3585090637207
2013-12-13,27.10893440246582,57.11153030395508
2013-12-16,27.136571884155273,57.16090774536133
2013-12-17,27.019092559814453,56.779823303222656
2013-12-18,27.654836654663086,57.457305908203125
2013-12-19,27.544279098510742,57.62667465209961
2013-12-20,27.66866683959961,57.73251724243164
2013-12-23,27.751588821411133,57.76781463623047
2013-12-24,27.772319793701172,57.894840240478516
2013-12-26,27.979631423950195,58.184165954589844
2013-12-27,28.097097396850586,58.36766815185547
2013-12-30,28.394241333007812,58.50876998901367
2013-12-31,28.5462646484375,58.52996826171875
2014-01-02,28.097097396850586,57.937171936035156
2014-01-03,27.958887100219727,58.03596496582031
2014-01-06,27.827598571777344,58.0641975402832
2014-01-07,27.9105281829834,58.911041259765625
2014-01-08,27.59956169128418,58.741676330566406
2014-01-09,27.454444885253906,58.46645736694336
2014-01-10,27.73086166381836,58.925148010253906
2014-01-13,27.31624412536621,58.12770462036133
2014-01-14,27.426795959472656,58.12770462036133
2014-01-15,27.475177764892578,58.49467086791992
2014-01-16,27.440629959106445,58.473506927490234
2014-01-17,27.143491744995117,58.007747650146484
2014-01-21,27.585737228393555,58.515846252441406
2014-01-22,27.57192039489746,58.46645736694336
2014-01-23,27.115846633911133,58.17003631591797
2014-01-24,26.839431762695312,57.464359283447266
2014-01-27,26.763418197631836,57.90896224975586
2014-01-28,26.860172271728516,58.09242630004883
2014-01-29,26.18987464904785,56.61049270629883
2014-01-30,26.376445770263672,57.21738815307617
2014-01-31,26.13457679748535,56.709285736083984
2014-02-03,25.70615005493164,55.44609069824219
2014-02-04,25.899642944335938,55.622520446777344
2014-02-05,25.98947525024414,56.045928955078125
2014-02-06,26.279699325561523,56.0247688293457
2014-02-07,26.22442054748535,56.61049270629883
2014-02-10,26.652862548828125,56.8786506652832
2014-02-11,26.701223373413086,57.33734130859375
2014-02-12,26.61140251159668,57.50670623779297
2014-02-13,26.708141326904297,56.23646545410156
2014-02-14,26.9016170501709,55.10736083984375
2014-02-18,25.892732620239258,55.17086410522461
2014-02-19,25.637052536010742,54.408729553222656
2014-02-20,25.775251388549805,55.0509033203125
2014-02-21,25.692325592041016,55.19910430908203
2014-02-24,25.913455963134766,55.66486740112305
2014-02-25,26.100032806396484,55.91185760498047
2014-02-26,26.16914176940918,55.50255584716797
2014-02-27,26.307342529296875,55.798954010009766
2014-02-28,26.397172927856445,56.50462341308594
2014-03-03,26.341888427734375,56.11648941040039
2014-03-04,26.47319221496582,57.05507278442383
2014-03-05,26.500829696655273,57.64350509643555
2014-03-06,26.58375358581543,57.79987335205078
2014-03-07,26.639034271240234,57.963314056396484
2014-03-10,26.708141326904297,58.084144592285156
2014-03-11,26.811786651611328,58.851680755615234
2014-03-12,26.79438591003418,58.382598876953125
2014-03-13,26.446128845214844,58.133880615234375
2014-03-14,26.585433959960938,57.565330505371094
2014-03-17,26.65508270263672,58.31154251098633
2014-03-18,26.745620727539062,58.24047088623047
2014-03-19,26.56453514099121,57.82830047607422
2014-03-20,26.780458450317383,58.17653274536133
2014-03-21,26.77348518371582,58.375518798828125
2014-03-24,26.745620727539062,58.197845458984375
2014-03-25,26.898853302001953,58.560298919677734
2014-03-26,26.891891479492188,58.89430618286133
2014-03-27,27.03814697265625,58.659793853759766
2014-03-28,27.128700256347656,58.9511604309082
2014-03-31,26.926713943481445,59.342063903808594
2014-04-01,26.752593994140625,58.90141296386719
2014-04-02,26.696870803833008,58.794822692871094
2014-04-03,26.515777587890625,58.92274856567383
2014-04-04,26.62024688720703,58.695308685302734
2014-04-07,26.898853302001953,59.63343048095703
2014-04-08,27.093881607055664,59.320716857910156
2014-04-09,27.156558990478516,59.63343048095703
2014-04-10,27.086915969848633,59.42732620239258
2014-04-11,26.90580940246582,59.093299865722656
2014-04-14,26.975467681884766,59.37757110595703
2014-04-15,27.985397338867188,59.66896057128906
2014-04-16,28.270965576171875,60.2446174621582
2014-04-17,28.36151123046875,60.79896545410156
2014-04-21,28.382404327392578,61.0547981262207
2014-04-22,28.354537963867188,60.50756072998047
2014-04-23,28.36846351623535,60.69945526123047
2014-04-24,28.347578048706055,60.77764129638672
2014-04-25,28.5634822845459,60.58574295043945
2014-04-28,28.577417373657227,61.70151901245117
2014-04-29,28.257034301757812,60.94822311401367
2014-04-30,28.410266876220703,61.04059600830078
2014-05-01,28.403297424316406,60.81315994262695
2014-05-02,28.521692276000977,60.77764129638672
2014-05-05,28.389368057250977,61.0547981262207
2014-05-06,28.201318740844727,60.671043395996094
2014-05-07,28.493839263916016,61.687320709228516
2014-05-08,28.36846351623535,61.587799072265625
2014-05-09,28.465986251831055,61.95024871826172
2014-05-12,28.431156158447266,61.77970886230469
2014-05-13,28.63314437866211,61.99290084838867
2014-05-14,28.47991371154785,61.71574401855469
2014-05-15,28.222206115722656,60.93396759033203
2014-05-16,28.47991371154785,61.50253677368164
2014-05-19,28.354537963867188,61.189823150634766
2014-05-20,28.263996124267578,60.87002182006836
2014-05-21,28.465986251831055,61.189823150634766
2014-05-22,28.263996124267578,60.820274353027344
2014-05-23,28.263996124267578,60.99794387817383
2014-05-27,28.396333694458008,61.49542236328125
2014-05-28,28.263996124267578,61.87918472290039
2014-05-29,28.319721221923828,62.348243713378906
2014-05-30,28.493839263916016,62.77464294433594
2014-06-02,28.459014892578125,62.44773864746094
2014-06-03,28.472942352294922,62.69647979736328
2014-06-04,28.410266876220703,62.599796295166016
2014-06-05,28.47991371154785,62.836082458496094
2014-06-06,28.549562454223633,62.943477630615234
2014-06-09,28.493839263916016,63.0079231262207
2014-06-10,28.605274200439453,63.30864334106445
2014-06-11,28.459014892578125,62.850406646728516
2014-06-12,28.364282608032227,62.449440002441406
