date,price1,price2,signal,position,shares1,shares2,cash,position_value,portfolio_value,commission_paid,borrow_cost,total_commission,total_borrow_cost,returns,cumulative_returns
2011-03-04,26.36728858947754,20.03459358215332,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-07,26.119335174560547,19.851343154907227,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-08,26.41890525817871,20.31708526611328,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-09,26.868253707885746,20.477428436279297,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-10,26.44029426574707,20.37053871154785,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,26.490222930908203,20.569047927856445,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-14,26.16213035583496,20.46979331970215,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-15,25.88396644592285,20.339996337890625,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-16,25.448881149291992,19.851343154907227,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,25.505952835083008,19.91243362426757,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,25.6771183013916,20.004058837890625,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,25.983816146850582,20.095674514770508,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,25.88396644592285,20.194934844970703,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-23,26.119335174560547,20.59195137023925,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-24,26.64715385437012,20.82864761352539,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-25,26.689939498901367,20.75992584228516,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-28,26.140743255615234,20.40107727050781,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-29,26.889657974243164,20.561418533325195,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-30,26.796937942504883,20.59195137023925,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,26.43317985534668,20.179658889770508,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,26.7898006439209,20.41635513305664,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-04,26.725610733032227,20.294189453125,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-05,26.81832695007324,20.44689178466797,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-06,26.747005462646484,20.36289978027344,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-07,26.98237037658692,20.309459686279297,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-08,26.71847915649414,20.477428436279297,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-11,26.81832695007324,20.44689178466797,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-12,26.932456970214844,20.683578491210938,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-13,26.868253707885746,20.54614448547364,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-14,26.9895133972168,20.683578491210938,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-15,27.224878311157227,20.65304183959961,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-18,26.932456970214844,20.285051345825195,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-19,26.93958282470703,20.438377380371094,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-20,27.060840606689453,20.438377380371094,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-21,26.96097755432129,20.446044921875,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-25,26.7898006439209,20.19306182861328,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-26,26.5401668548584,20.13939094543457,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-27,26.61861991882324,20.49971580505371,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-28,26.725610733032227,20.392383575439453,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
