Date,HD,LOW
2013-11-21,60.4598388671875,38.8505744934082
2013-11-22,59.96754455566406,38.60877990722656
2013-11-25,60.39925765991211,38.48786926269531
2013-11-26,60.85366821289063,38.69744873046875
2013-11-27,61.08845901489258,38.600730895996094
2013-11-29,61.09603500366211,38.270240783691406
2013-12-02,60.41438674926758,37.7463264465332
2013-12-03,59.90448760986328,37.48033905029297
2013-12-04,59.66855239868164,37.770503997802734
2013-12-05,59.775089263916016,37.56900405883789
2013-12-06,60.76448822021485,38.67326354980469
2013-12-09,60.58184814453125,38.49592590332031
2013-12-10,59.828392028808594,38.17354202270508
2013-12-11,60.12522506713867,38.13322448730469
2013-12-12,59.76749801635742,37.79467391967773
2013-12-13,60.13280487060547,37.97201919555664
2013-12-16,60.201316833496094,37.98814392089844
2013-12-17,59.83597946166992,37.60123825073242
2013-12-18,60.92432403564453,38.947303771972656
2013-12-19,60.84823226928711,39.00373458862305
2013-12-20,60.91669845581055,38.665184020996094
2013-12-23,61.31248474121094,39.01178359985352
2013-12-24,61.37338638305664,39.25360107421875
2013-12-26,62.0659408569336,39.51958847045898
2013-12-27,62.13443756103516,39.358394622802734
2013-12-30,62.36274719238281,39.6969108581543
2013-12-31,62.66722869873047,39.93873596191406
2014-01-02,62.42366027832031,39.85005187988281
2014-01-03,62.32473373413086,39.4551010131836
2014-01-06,61.72347640991211,38.89892959594727
2014-01-07,62.02788162231445,38.99567031860352
2014-01-08,62.35512924194336,39.132694244384766
2014-01-09,62.08116912841797,39.29389953613281
2014-01-10,62.41604232788086,40.04350280761719
2014-01-13,61.6245231628418,39.22136306762695
2014-01-14,61.65497589111328,39.414794921875
2014-01-15,61.70063781738281,38.92313003540039
2014-01-16,61.84523010253906,38.834468841552734
2014-01-17,61.64736175537109,38.5189323425293
2014-01-21,61.2363510131836,38.68881988525391
2014-01-22,61.03847885131836,38.63219833374024
2014-01-23,61.06891632080078,38.95582580566406
2014-01-24,60.24697494506836,38.69692993164063
2014-01-27,60.07954025268555,38.83445358276367
2014-01-28,59.775089263916016,37.99306106567383
2014-01-29,58.3594970703125,37.19208908081055
2014-01-30,58.54976272583008,37.62089157104492
2014-01-31,58.4888916015625,37.45098876953125
2014-02-03,57.149391174316406,36.89272689819336
2014-02-04,57.05805969238281,36.326416015625
2014-02-05,57.27875900268555,36.83611679077149
2014-02-06,57.96373748779297,37.68561172485352
2014-02-07,58.184452056884766,37.27298355102539
2014-02-10,58.15401840209961,37.313438415527344
2014-02-11,58.37471389770508,37.83123016357422
2014-02-12,58.81615829467773,37.76653289794922
2014-02-13,59.05206298828125,37.734169006347656
2014-02-14,59.31085586547852,38.25195693969727
2014-02-18,59.03684997558594,37.968788146972656
2014-02-19,58.184452056884766,37.65325164794922
2014-02-20,58.968360900878906,37.75032806396485
2014-02-21,59.166236877441406,38.07394790649414
2014-02-24,59.26515197753906,38.203407287597656
2014-02-25,61.63212966918945,38.9234619140625
2014-02-26,62.18012237548828,41.03508377075195
2014-02-27,62.38560104370117,41.11598205566406
2014-02-28,62.431270599365234,40.47684097290039
2014-03-03,62.40845489501953,40.60630035400391
2014-03-04,63.07056427001953,40.9622688293457
2014-03-05,63.10100555419922,40.73574066162109
2014-03-06,62.72047805786133,40.52537536621094
2014-03-07,62.82703399658203,40.79236602783203
2014-03-10,62.5454216003418,40.44447326660156
2014-03-11,62.223907470703125,40.01567840576172
2014-03-12,61.665157318115234,39.95095443725586
2014-03-13,60.31794357299805,39.40890121459961
2014-03-14,60.76190185546875,39.716339111328125
2014-03-17,60.915016174316406,40.031864166259766
2014-03-18,61.09870910644531,40.31501388549805
2014-03-19,61.04512786865234,40.112770080566406
2014-03-20,61.30537414550781,40.08850860595703
2014-03-21,61.55799865722656,39.84577560424805
2014-03-24,60.97624206542969,39.78915023803711
2014-03-25,60.83079528808594,39.12572860717773
2014-03-26,60.37153625488281,39.26325607299805
