date,spread_raw,spread_filtered,P,K,z_score,signal,position
2011-03-23,-1.6932199969167256,-1.5918547793090767,0.002640585934374057,0.2640585934374056,-0.04457495807530631,NEUTRAL,0
2011-03-24,-1.687420745050784,-1.6053746753500382,0.002640585934374057,0.2640585934374056,-0.058639681580455745,NEUTRAL,0
2011-03-25,-1.6673450790161413,-1.6099238760104868,0.002640585934374057,0.2640585934374056,-0.06337220683544303,NEUTRAL,0
2011-03-28,-1.6482745713285358,-1.6082026102558187,0.002640585934374057,0.2640585934374056,-0.06158157717047055,NEUTRAL,0
2011-03-29,-1.6009048724989814,-1.59444015097818,0.002640585934374057,0.2640585934374056,-0.04726451556700719,NEUTRAL,0
2011-03-30,-1.618006267730837,-1.5889288413467606,0.002640585934374057,0.2640585934374056,-0.041531110082058745,NEUTRAL,0
2011-03-31,-1.5664330030281475,-1.5712950366578662,0.002640585934374057,0.2640585934374056,-0.023186694818680013,NEUTRAL,0
2011-04-01,-1.5796366721030903,-1.5619339063864714,0.002640585934374057,0.2640585934374056,-0.013448327854618053,NEUTRAL,0
2011-04-04,-1.5595160941966468,-1.5498005439401918,0.002640585934374057,0.2640585934374056,-0.0008260127511840193,NEUTRAL,0
2011-04-05,-1.5832806064510203,-1.5472356182330096,0.002640585934374057,0.2640585934374056,0.0018422748431488982,NEUTRAL,0
2011-04-06,-1.5724652032811464,-1.5425109594021686,0.002640585934374057,0.2640585934374056,0.006757328916835008,NEUTRAL,0
2011-04-07,-1.5344214400299192,-1.5290228754441413,0.002640585934374057,0.2640585934374056,0.020788958369394407,NEUTRAL,0
2011-04-08,-1.6011740321358503,-1.5368222959388285,0.002640585934374057,0.2640585934374056,0.012675235273756628,NEUTRAL,0
2011-04-11,-1.5832806064510203,-1.5377799004450563,0.002640585934374057,0.2640585934374056,0.01167904103035608,NEUTRAL,0
2011-04-12,-1.6233985601978072,-1.5490710842821913,0.002640585934374057,0.2640585934374056,-6.715718255727257e-05,NEUTRAL,0
2011-04-13,-1.5998742908803,-1.551085852032277,0.002640585934374057,0.2640585934374056,-0.0021631164448321903,NEUTRAL,0
2011-04-14,-1.617065311793497,-1.557093212336145,0.002640585934374057,0.2640585934374056,-0.008412562551054202,NEUTRAL,0
2011-04-15,-1.584129521358843,-1.5527730883800603,0.002640585934374057,0.2640585934374056,-0.0039183453791016565,NEUTRAL,0
2011-04-18,-1.5345182167423541,-1.5365252325446777,0.002640585934374057,0.2640585934374056,0.012984269787747997,NEUTRAL,0
2011-04-19,-1.567922336275017,-1.533507982185141,0.002640585934374057,0.2640585934374056,0.01612310990339126,NEUTRAL,0
2011-04-20,-1.554462754338279,-1.527755549631857,0.002640585934374057,0.2640585934374056,0.022107355129747847,NEUTRAL,0
2011-04-21,-1.5672575577827677,-1.5269430086613407,0.002640585934374057,0.2640585934374056,0.02295264003817406,NEUTRAL,0
2011-04-25,-1.529837340188024,-1.5164698759178667,0.002640585934374057,0.2640585934374056,0.03384782117147607,NEUTRAL,0
2011-04-26,-1.5455768344468859,-1.5129954887113524,0.002640585934374057,0.2640585934374056,0.037462219925830556,NEUTRAL,0
2011-04-27,-1.6172289560905715,-1.5293844712157618,0.002640585934374057,0.2640585934374056,0.02041279093932944,NEUTRAL,0
2011-04-28,-1.5814155492718283,-1.5318683509130635,0.002640585934374057,0.2640585934374056,0.01782881536312982,NEUTRAL,0
2011-04-29,-1.5469076597721458,-1.5245659561682667,0.002640585934374057,0.2640585934374056,0.02542548346618712,NEUTRAL,0
2011-05-02,-1.5533028190571674,-1.520934259620714,0.002640585934374057,0.2640585934374056,0.02920353084474535,NEUTRAL,0
2011-05-03,-1.4968794571038204,-1.5033891973195435,0.002640585934374057,0.2640585934374056,0.04745562756197987,NEUTRAL,0
2011-05-04,-1.459966110695806,-1.4808588945381052,0.002640585934374057,0.2640585934374056,0.0708938609735508,NEUTRAL,0
2011-05-05,-1.4742172957542836,-1.4682068695274026,0.002640585934374057,0.2640585934374056,0.08405573980876047,NEUTRAL,0
2011-05-06,-1.4552792885621764,-1.4539880883943281,0.002640585934374057,0.2640585934374056,0.09884751221670171,NEUTRAL,0
2011-05-09,-1.478174252786995,-1.44967415255552,0.002640585934374057,0.2640585934374056,0.10333529190139505,NEUTRAL,0
2011-05-10,-1.5305691593331212,-1.4603664219124313,0.002640585934374057,0.2640585934374056,0.09221214334374937,NEUTRAL,0
2011-05-11,-1.4875728146341047,-1.4568030625206319,0.002640585934374057,0.2640585934374056,0.09591909970223716,NEUTRAL,0
2011-05-12,-1.4896620510547853,-1.454758543865575,0.002640585934374057,0.2640585934374056,0.09804600877737894,NEUTRAL,0
2011-05-13,-1.4742172957542836,-1.449190624029541,0.002640585934374057,0.2640585934374056,0.10383830575624592,NEUTRAL,0
2011-05-16,-1.3192928744166807,-1.4042248131138284,0.002640585934374057,0.2640585934374056,0.15061615787864657,NEUTRAL,0
2011-05-17,-1.2706527385174717,-1.3586196871324674,0.002640585934374057,0.2640585934374056,0.19805908831258012,NEUTRAL,0
2011-05-18,-1.3171957559263014,-1.3376826972882003,0.002640585934374057,0.2640585934374056,0.21983980114480658,NEUTRAL,0
2011-05-19,-1.2765725190692465,-1.3117014687252269,0.002640585934374057,0.2640585934374056,0.24686802643257483,NEUTRAL,0
2011-05-20,-1.2487792065248127,-1.285432950433847,0.002640585934374057,0.2640585934374056,0.27419511870746055,NEUTRAL,0
2011-05-23,-1.253311345688287,-1.2674909313299403,0.002640585934374057,0.2640585934374056,0.2928601688717525,NEUTRAL,0
2011-05-24,-1.2353619923803167,-1.2496790183141835,0.002640585934374057,0.2640585934374056,0.3113898699068335,NEUTRAL,0
2011-05-25,-1.2615133791318742,-1.2436070776410346,0.002640585934374057,0.2640585934374056,0.31770649885492386,NEUTRAL,0
